role,title,company,city_clean,region,country,job_count
Data Scientist,Backend / Data Engineer (m/w/d),thinkers GmbH,Leipzig,,Germany,1
Data Scientist,Business Developer for Data Centers (f/m/d),Siemens Energy Global GmbH & Co. KG,Nürnberg,Mittelfranken,Germany,1
Data Scientist,Project Manager Energy Data and Processes  (m/w/d),Hays Professional Solutions GmbH,Helmstedt,,Germany,1
Data Scientist,Senior Data Engineer (m/w/d),TEMPTON Next Level Experts GmbH,Hamburg,,Germany,1
Data Scientist,Data Governance Manager (m/w/d),team SE,Flensburg,,Germany,1
Data Scientist,Big Data Analytics,alfatraining Bildungszentrum GmbH,Kassel,Hessen,Germany,1
Data Scientist,Big Data Analytics,alfatraining Bildungszentrum GmbH,Hannover,,Germany,1
Data Scientist,Praktikant Customer Insights und Big Data Analyse (w/m/x),BMW AG,München,,Germany,1
Data Scientist,Werkstudent (m/w/d) Data & Analytics in der Produktion,Handtmann Unternehmensgruppe,Biberach An Der Riß,,Germany,1
Data Scientist,Praktikum Lidl Plus International - Customer Data & Analytic,Lidl Dienstleistung GmbH & Co. KG,Neckarsulm,,Germany,1
Data Scientist,Data Strategy & Data Governance Consultant (w|m|d),BridgingIT GmbH,Mannheim,,Germany,1
Data Scientist,Business Koordinator Data Analytics Claims (w/m/d),HUK-COBURG VVaG,Coburg,,Germany,1
Data Scientist,Data Analyst (m/w/s) ILS,TEMPTON Next Level Experts GmbH,Bremen,,Germany,1
Data Scientist,Senior AI / Data Science Engineer mit Erfahrung im Bereich LLM (m/w/d),auteega Gmbh,Mannheim,,Germany,1
Data Scientist,Working Student / Werkstudent:in HR Data & Analytics (no internship),ASML Berlin GmbH,Berlin,,Germany,1
Data Scientist,"Praktikant (m/w/d) Künstlichen Intelligenz (KI), Data Science und Innovations- und Technologiemanage",Diehl Defence GmbH & Co. KG,Überlingen,Bodensee,Germany,1
Data Scientist,Datenwissenschaftler:in (m/w/d),Helmholtz-Zentrum für Ozeanforschung Kiel (GEOMAR),Kiel,,Germany,1
Data Scientist,Masterarbeit Data Science in der MEMS-Entwicklung - Identifikation und Modellierung... / REF280104C,Robert Bosch GmbH,Reutlingen,,Germany,1
Data Scientist,Data Scientist / Analyst prüfungsnahe Beratung - Quants-Assurance (Financial Services) (w/m/d),EY GmbH & Co. KG WPG,Eschborn,Taunus,Germany,1
Data Scientist,Data Engineer m/w/d,DZ BANK AG,Frankfurt Am Main,,Germany,1
Data Scientist,"Head of Data & AI Business Unit Education (m/w/d), Öhringen, Hohenloher",Hohenloher Schuleinrichtungen GmbH & Co. KG,Öhringen,,Germany,1
Data Scientist,Duales Studium Data Science & KI / Smart Operations Management (w/m/d),Hecht AG,Besigheim,,Germany,1
Data Scientist,Lead Consultant Data & AI Solutions (w|m|d),BridgingIT GmbH,Mannheim,,Germany,1
Data Scientist,Praktikum (m|w|d) Data Science & Process Improvement,Voith SE & Co. KG,Crailsheim,,Germany,1
Data Scientist,Data Engineer (m/w/d) B2B-Versandhandel,Jungheinrich Profishop AG & Co. KG,Hamburg,,Germany,1
Data Scientist,Fachteamleiter/in (w/m/d) – Data Science & Business Analytics,PSI Technics GmbH,Winningen,Mosel,Germany,1
